Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2020-11-24,300,256836.612375,261265.9510559999,50468.75196299998,1500.09802913,570071.4218759995
2020-11-25,300,255194.7447719999,258441.83925999998,50576.69275699997,1671.42438212,565884.6980959995
2020-11-26,300,236198.964472,231238.995253,47761.41485199998,1705.9113845199997,516905.2717474995
2020-11-27,300,237250.472701,234750.661227,47287.11445799995,1675.70313064,520963.9502619995
2020-11-28,300,239905.20007799985,235671.71162199997,47334.544452999944,1796.54895037,524708.0114199994
2020-11-29,300,239412.2621069999,231583.784746,47477.19206099998,1755.67051984,520228.8873742997
2020-11-30,300,264315.590729,260622.23148,52266.59624199996,1747.5804935,578951.9703939997
2020-12-01,300,267243.742037,266027.422156,52379.545192,1786.0688475,587436.7538
2020-12-02,300,266142.727217,264214.274368,52251.176567,1823.70860784,584431.72517
2020-12-03,300,265771.037796,262863.35992,49484.381023,1968.94535326,580087.70386
2020-12-04,300,262153.094635,266887.56965900003,51086.380892,2081.25416436,582208.28683
2020-12-05,300,250931.637346,249535.790971,49908.274746,2004.81457257,552380.5039
2020-12-06,300,242706.377468,239237.051935,48626.213582000004,1904.22872995,532473.86745
2020-12-07,300,261757.654589,271966.939225,55463.282976,1663.18657276,590851.06017
2020-12-08,300,263112.76487,266045.676744,52793.920011,1823.35360244,583775.70617
2020-12-09,300,263587.546101,265042.842271,52719.361833,1748.01487915,583097.76556
2020-12-10,300,262548.167915,266149.117136,53570.011842,1769.65364786,584036.96826
2020-12-11,300,271881.084057,269478.252153,52906.819507,2118.17462525,596384.33364
2020-12-12,300,251833.903765,254536.153666,53846.746199,2000.3007518,562217.10607
2020-12-13,300,251383.389831,241672.19532,49543.613986,2060.44643899,544659.6335
2020-12-14,300,261751.566857,263011.407389,54347.602785,1866.99983779,580977.58573
2020-12-15,300,267018.971287,268446.853827,54823.695209,2004.78983708,592294.31162
2020-12-16,300,266766.689951,269433.119739,55187.889057,2081.59181955,593469.29619
2020-12-17,300,260511.621227,268647.502482,56164.72829,1855.56109057,587179.41235
2020-12-18,300,261280.851278,267735.225946,52569.95027,1801.05169114,583387.07618
2020-12-19,300,248891.662259,249850.772248,51275.574024,1917.67556906,551935.70825
2020-12-20,300,245403.841183,242989.313681,50449.039073,1888.61681513,540730.81701
2020-12-21,300,265199.727162,262098.393762,51887.730569,1781.82236653,580967.67706
2020-12-22,300,265347.938632,260594.469442,52047.706162,1687.53967708,579677.67362
2020-12-23,300,267917.636557,265158.767749,54009.009139,1841.12886145,588926.53352
2020-12-24,300,255529.707423,254853.37313,54167.936167,2213.5226469,566764.52832
2020-12-25,300,241351.99223,224776.625641,47392.616008,2000.15523544,515521.38182
2020-12-26,300,232294.565062,229016.02189899998,47319.371768,1899.64655395,510529.58975
2020-12-27,300,234680.608368,234968.519329,51038.360872,1768.20297163,522455.6751
2020-12-28,300,253545.080539,267285.088538,52283.180713,2035.81395015,575149.1796
2020-12-29,300,251260.540984,260535.367036,51126.251742,1958.51300878,564880.70375
2020-12-30,300,255097.856465,257720.380059,50717.611968,2104.12595405,565639.9717999999
2020-12-31,300,244529.612174,246327.619765,50846.284201,2089.40080131,543792.91923
2021-01-01,300,230521.739992,225140.96169799988,46847.23850799999,1827.05350887,504336.9852329996
2021-01-02,300,241117.04221599989,230774.357468,47802.26044399999,1959.104045399999,521652.7595909994
2021-01-03,300,232608.17877799997,228737.91060799998,46880.83406899997,1863.17371015,510090.1103109992
2021-01-04,300,256209.20671899998,251863.1805139999,51768.61549699994,1806.3626285599998,561647.3766919996
